시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,위도,경도
마드레나자레나의집,B0238,(아동) 공동생활가정,아동복지시설,자치구,이정임,1150000000,강서구,서울특별시 강서구 강서로26길 51-8,37.5407402293642,126.844854754737
살레시오방화동나눔의집,B0795,(아동) 공동생활가정,아동복지시설,자치구,김혜숙,1150000000,강서구,서울특별시 강서구 방화대로45길 56-4,37.5746725545421,126.813472968231
예원,B9467,(아동) 공동생활가정,아동복지시설,자치구,김필저,1150000000,강서구,서울특별시 강서구 강서로45길138,37.551480991813,126.831493139395
라온,K0049,(아동) 공동생활가정,아동복지시설,자치구,김용진,1150000000,강서구,서울특별시 강서구 송정로 14-121층 (공항동),37.5565208595742,126.812288468231
효주아녜스의집,K0377,(아동) 공동생활가정,아동복지시설,자치구,곽근,1150000000,강서구,서울특별시 강서구 까치산로4가길36 (화곡동,37.5411728424947,126.842624410559
지온보육원,X9433,(아동) 아동양육시설,아동복지시설,자치구,박국자,1150000000,강서구,서울특별시 강서구 금낭화로26가길 120,37.5843450205179,126.81181881056
성광행복한지역아동센터,B0246,(아동) 지역아동센터,아동복지시설,자치구,김명희,1150000000,강서구,서울특별시 강서구 양천로26길 103청구상가 202,37.5731905584344,126.821254754738
열린지역아동센터,B0734,(아동) 지역아동센터,아동복지시설,자치구,최승호,1150000000,강서구,서울특별시 강서구 초록마을로22길 8-5,37.5402997304198,126.850647239395
꿈나무학교,B0808,(아동) 지역아동센터,아동복지시설,자치구,김준혁,1150000000,강서구,서울특별시 강서구 가로공원로 214-1,37.5374112523663,126.839792710559
람원행복한홈스쿨지역아동센터,B0832,(아동) 지역아동센터,아동복지시설,자치구,박미자,1150000000,강서구,서울특별시 강서구 까치산로 160-5,37.5517327147772,126.852948710559
솔로몬지역아동센터,B1110,(아동) 지역아동센터,아동복지시설,자치구,엄은영,1150000000,강서구,서울특별시 강서구 양천로1길 1062층,37.5811874920511,126.810405966806
밝은지역아동센터,B1948,(아동) 지역아동센터,아동복지시설,자치구,조은아,1150000000,강서구,서울특별시 강서구 강서로47다길 411층,37.5797857353615,126.81315236642
화곡지역아동센터,B2413,(아동) 지역아동센터,아동복지시설,자치구,최덕성,1150000000,강서구,서울특별시 강서구 등촌로5길 79,37.5329304962314,126.859052810559
주함지역아동센터,B2432,(아동) 지역아동센터,아동복지시설,자치구,주현구,1150000000,강서구,서울특별시 강서구 강서로18길 414층 (화곡동),37.5307035995536,126.85000993645
희망지역아동센터,B3743,(아동) 지역아동센터,아동복지시설,자치구,하순정,1150000000,강서구,서울특별시 강서구 강서로56길 963층 (등촌동),37.5645635981713,126.843494622033
경향지역아동센터,B4057,(아동) 지역아동센터,아동복지시설,자치구,이은숙,1150000000,강서구,서울특별시 강서구 화곡로63길 19(등촌동),37.5573859104064,126.851644383573
좋은사람들지역아동센터,B8149,(아동) 지역아동센터,아동복지시설,자치구,황수미,1150000000,강서구,서울특별시 강서구 화곡로31길 392층,37.5445683134962,126.841227739395
새하늘지역아동센터,B8381,(아동) 지역아동센터,아동복지시설,자치구,이은혜,1150000000,강서구,서울특별시 강서구 화곡로24길 161층,37.3217522169224,127.97224245473
좋은친구청소년지역아동센터,B8405,(아동) 지역아동센터,아동복지시설,자치구,박민선,1150000000,강서구,서울특별시 강서구 가로공원로 237-0(화곡동,37.5390204009067,126.841916400772
위캔지역아동센터,B8545,(아동) 지역아동센터,아동복지시설,자치구,최선영,1150000000,강서구,서울특별시 강서구 까치산로12길 8-164층,37.5727550282036,126.844973215881
한길지역아동센터,B8928,(아동) 지역아동센터,아동복지시설,자치구,김옥열,1150000000,강서구,서울특별시 강서구 공항대로65길 21-0상가 1층,37.5509455347558,126.868402025902
방화지역아동센터,B9555,(아동) 지역아동센터,아동복지시설,자치구,이동훈,1150000000,강서구,서울특별시 강서구 양천로6길28,37.5709597532435,126.806811339396
밝은지역아동센터,B9749,(아동) 지역아동센터,아동복지시설,자치구,박웅서,1150000000,강서구,서울특별시 강서구 양천로17길26-2,37.5747399576185,126.813054268231
큰미래지역아동센터,B9967,(아동) 지역아동센터,아동복지시설,자치구,최화순,1150000000,강서구,서울특별시 강서구 방화대로23길49-5,37.5643039084565,126.813701139396
등촌1종합사회복지관 다솜방과후교실,F04230,(아동) 지역아동센터,아동복지시설,자치구,김선기,1150000000,강서구,서울특별시 강서구 강서로68길 36 (등촌동,37.5650573928732,126.842551297067
소은지역아동센터,K0258,(아동) 지역아동센터,아동복지시설,자치구,정경화,1150000000,강서구,서울특별시 강서구 방화대로6나길 17,37.5559280091646,126.81676061056
강서누리지역아동센터,K0435,(아동) 지역아동센터,아동복지시설,자치구,김순자,1150000000,강서구,서울특별시 강서구 송정로 32,37.5580410136988,126.81140121056
강서지역아동복지센터,B2418,(아동) 지역아동센터(지역아동복지센터),아동복지시설,자치구,박국자,1150000000,강서구,서울특별시 강서구 금낭화로26가길 120,37.5844045354309,126.81181881056