학교명,위도,경도
유석초등학교,37.5609713953421,126.853767768731
서울화일초등학교,37.5411473709133,126.847366955236
서울화곡초등학교,37.5433317710258,126.846120026401
서울탑산초등학교,37.5672583781158,126.852398639896
서울치현초등학교,37.5758076640874,126.814685984072
서울정곡초등학교,37.5767475028221,126.81891525893
서울월정초등학교,37.5344200287985,126.83616796873
서울우장초등학교,37.5492326274997,126.846082412906
서울염창초등학교,37.5532040337632,126.867810470577
서울염동초등학교,37.5523433306024,126.872330082225
서울염경초등학교,37.5549263119033,126.871478241742
서울양천초등학교,37.5701225816151,126.839615555236
서울신정초등학교,37.5329584202211,126.852477355235
서울신월초등학교,37.5401988882363,126.839071584071
서울신곡초등학교,37.5392605402055,126.855696297565
서울수명초등학교,37.5529167116635,126.823433539895
서울송화초등학교,37.5685816061782,126.817523626401
서울송정초등학교,37.5623731055038,126.810951855236
서울삼정초등학교,37.5805931415705,126.810900741743
서울백석초등학교,37.553604187203,126.862106895719
서울방화초등학교,37.5688428463064,126.80634271106
서울발산초등학교,37.5502122369263,126.831012097566
서울등현초등학교,37.5616437220128,126.847393455236
서울등촌초등학교,37.5477600885766,126.858094753389
서울등원초등학교,37.5605098868512,126.850062039895
서울등양초등학교,37.5650239929668,126.844640239896
서울등서초등학교,37.5520228140101,126.854844495719
서울등명초등학교,37.5610222259301,126.842319568446
서울등마초등학교,37.542212932794,126.861708899412
서울내발산초등학교,37.5515336063209,126.837698980378
서울공항초등학교,37.563384856939,126.821558960776
서울공진초등학교,37.5580346982272,126.822839597566
서울개화초등학교,37.573872253287,126.804642639896
서울가양초등학교,37.561826911919,126.858992026401
서울가곡초등학교,37.5555177939421,126.83580636873