기간,자치구,초등학교 총계,초등학교 국제결혼가정,초등학교 외국인가정,중학교 총계,중학교 국제결혼가정,중학교 외국인가정,고등학교 총계,고등학교 국제결혼가정,고등학교 외국인가정
2021,합계,"13,093","8,932","4,161","4,049","2,839","1,210","2,053","1,478",575
,종로구,157,115,42,72,55,17,75,57,18
,중구,245,151,94,78,53,25,104,77,27
,용산구,402,255,147,133,87,46,86,62,24
,성동구,449,333,116,130,100,30,42,33,9
,광진구,503,295,208,132,92,40,69,51,18
,동대문구,496,357,139,160,117,43,88,65,23
,중랑구,592,431,161,176,139,37,49,39,10
,성북구,564,458,106,177,145,32,63,54,9
,강북구,408,369,39,97,89,8,68,61,7
,도봉구,401,374,27,100,86,14,36,24,12
,노원구,413,382,31,148,134,14,89,68,21
,은평구,607,555,52,229,189,40,168,106,62
,서대문구,312,276,36,99,87,12,40,31,9
,마포구,285,247,38,98,81,17,54,40,14
,양천구,442,380,62,214,198,16,77,67,10
,강서구,682,591,91,155,144,11,101,89,12
,구로구,"1,477",677,800,503,210,293,228,132,96
,금천구,972,403,569,228,126,102,100,59,41
,영등포구,"1,188",391,797,369,113,256,97,51,46
,동작구,468,312,156,129,92,37,57,47,10
,관악구,682,436,246,239,171,68,158,73,85
,서초구,166,151,15,43,39,4,33,32,1
,강남구,206,186,20,61,55,6,54,51,3
,송파구,492,380,112,144,120,24,74,67,7
,강동구,484,427,57,135,117,18,43,42,1